record_id,province,province_code,scope,scope_code,period_type,year,month_start,month_end,period_label,indicator_name,indicator_name_raw,value,unit,yoy_pct,yoy_direction,is_cumulative,is_stock,is_preliminary,includes_financial,source_institution,source_title,source_url,publish_date,extraction_date,confidence,uev_level,notes
MO-ZJ-202601-01-asset,浙江,ZJ,省属企业,B1,single_month,2026,1,1,1月底,资产总额,资产总额,27431.6,亿元,10.1,up,0,1,1,0,浙江省国资委,2026年1-2月省属企业经营情况,https://gzw.zj.gov.cn/col/col1229430932/art/2026/art_b126dbbfd174410e94c13b41b3e189b4.html,2026-03-18,2026-04-02,0.90,1,财务快报;时点数据
MO-ZJ-202601-02-rev,浙江,ZJ,省属企业,B1,cumulative,2026,1,2,1-2月份,营业总收入,营业收入,2399.1,亿元,2.2,up,1,0,1,0,浙江省国资委,2026年1-2月省属企业经营情况,https://gzw.zj.gov.cn/col/col1229430932/art/2026/art_b126dbbfd174410e94c13b41b3e189b4.html,2026-03-18,2026-04-02,0.90,1,财务快报;原文用"营业收入"
MO-ZJ-202601-02-profit,浙江,ZJ,省属企业,B1,cumulative,2026,1,2,1-2月份,利润总额,利润总额,65.9,亿元,,,1,0,1,0,浙江省国资委,2026年1-2月省属企业经营情况,https://gzw.zj.gov.cn/col/col1229430932/art/2026/art_b126dbbfd174410e94c13b41b3e189b4.html,2026-03-18,2026-04-02,0.90,1,财务快报;同比数据为"剔除政策性因素后同比增长8.6%"——标注yoy为调整后值需谨慎使用
MO-ZJ-202601-02-profit-yoy,浙江,ZJ,省属企业,B1,cumulative,2026,1,2,1-2月份,利润总额(剔除政策性因素后同比),剔除政策性因素后同比增长,,%, 8.6,up,1,0,1,0,浙江省国资委,2026年1-2月省属企业经营情况,https://gzw.zj.gov.cn/col/col1229430932/art/2026/art_b126dbbfd174410e94c13b41b3e189b4.html,2026-03-18,2026-04-02,0.85,2,注意:此为调整后同比而非直接同比;原始同比未披露
MO-ZJ-202601-02-asset,浙江,ZJ,省属企业,B1,cumulative,2026,1,2,2月底,资产总额,资产总额,27645.8,亿元,9.7,up,0,1,1,0,浙江省国资委,2026年1-2月省属企业经营情况,https://gzw.zj.gov.cn/col/col1229430932/art/2026/art_b126dbbfd174410e94c13b41b3e189b4.html,2026-03-18,2026-04-02,0.90,1,财务快报;时点数据
MO-BJ-202401-12-asset,北京,BJ,市管企业,B1,annual,2024,1,12,1-12月,资产总额,资产总额,168000.0,亿元,,,0,1,0,0,北京市国资委,2024年全年市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/ywgz/202503/t20250331_4050004.html,2025-03-31,2026-04-03,0.90,1,原文"16.8万亿元";精度为千亿级
MO-BJ-202401-12-rev,北京,BJ,市管企业,B1,annual,2024,1,12,1-12月,营业总收入,营业收入,21000.0,亿元,,,1,0,0,0,北京市国资委,2024年全年市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/ywgz/202503/t20250331_4050004.html,2025-03-31,2026-04-03,0.90,1,原文"2.1万亿元";精度为千亿级
MO-BJ-202401-12-profit,北京,BJ,市管企业,B1,annual,2024,1,12,1-12月,利润总额,利润总额,1500.9,亿元,,,1,0,0,0,北京市国资委,2024年全年市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/ywgz/202503/t20250331_4050004.html,2025-03-31,2026-04-03,0.90,1,
MO-BJ-202501-03-asset,北京,BJ,市管企业,B1,cumulative,2025,1,3,一季度,资产总额,资产总额,172000.0,亿元,,,0,1,0,0,北京市国资委,2025年一季度市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/ywgz/202509/t20250901_4188567.html,2025-04-28,2026-04-03,0.90,1,原文"17.2万亿元"
MO-BJ-202501-03-rev,北京,BJ,市管企业,B1,cumulative,2025,1,3,一季度,营业总收入,营业收入,5131.1,亿元,,,1,0,0,0,北京市国资委,2025年一季度市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/ywgz/202509/t20250901_4188567.html,2025-04-28,2026-04-03,0.90,1,
MO-BJ-202501-03-profit,北京,BJ,市管企业,B1,cumulative,2025,1,3,一季度,利润总额,利润总额,387.8,亿元,,,1,0,0,0,北京市国资委,2025年一季度市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/ywgz/202509/t20250901_4188567.html,2025-04-28,2026-04-03,0.90,1,
MO-BJ-202501-06-asset,北京,BJ,市管企业,B1,cumulative,2025,1,6,上半年,资产总额,资产总额,175000.0,亿元,,,0,1,0,0,北京市国资委,2025年上半年市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/ywgz/202509/t20250901_4188558.html,2025-07-30,2026-04-03,0.90,1,原文"17.5万亿元"
MO-BJ-202501-06-rev,北京,BJ,市管企业,B1,cumulative,2025,1,6,上半年,营业总收入,营业收入,10260.7,亿元,,,1,0,0,0,北京市国资委,2025年上半年市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/ywgz/202509/t20250901_4188558.html,2025-07-30,2026-04-03,0.90,1,
MO-BJ-202501-06-profit,北京,BJ,市管企业,B1,cumulative,2025,1,6,上半年,利润总额,利润总额,731.2,亿元,,,1,0,0,0,北京市国资委,2025年上半年市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/ywgz/202509/t20250901_4188558.html,2025-07-30,2026-04-03,0.90,1,
MO-BJ-202501-09-asset,北京,BJ,市管企业,B1,cumulative,2025,1,9,前三季度,资产总额,资产总额,180000.0,亿元,,,0,1,0,0,北京市国资委,2025年三季度市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/gzsj/202602/t20260211_4508750.html,2025-10-21,2026-04-03,0.90,1,原文"18.0万亿元"
MO-BJ-202501-09-rev,北京,BJ,市管企业,B1,cumulative,2025,1,9,前三季度,营业总收入,营业收入,15000.0,亿元,,,1,0,0,0,北京市国资委,2025年三季度市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/gzsj/202602/t20260211_4508750.html,2025-10-21,2026-04-03,0.90,1,原文"1.5万亿元";精度为千亿级
MO-BJ-202501-09-profit,北京,BJ,市管企业,B1,cumulative,2025,1,9,前三季度,利润总额,利润总额,1058.1,亿元,,,1,0,0,0,北京市国资委,2025年三季度市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/gzsj/202602/t20260211_4508750.html,2025-10-21,2026-04-03,0.90,1,
MO-BJ-202501-12-asset,北京,BJ,市管企业,B1,annual,2025,1,12,1-12月,资产总额,资产总额,181000.0,亿元,,,0,1,0,0,北京市国资委,2025年全年市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/gzsj/202602/t20260211_4508755.html,2026-02-11,2026-04-03,0.90,1,原文"18.1万亿元"
MO-BJ-202501-12-rev,北京,BJ,市管企业,B1,annual,2025,1,12,1-12月,营业总收入,营业收入,21000.0,亿元,,,1,0,0,0,北京市国资委,2025年全年市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/gzsj/202602/t20260211_4508755.html,2026-02-11,2026-04-03,0.90,1,原文"2.1万亿元";精度为千亿级
MO-BJ-202501-12-profit,北京,BJ,市管企业,B1,annual,2025,1,12,1-12月,利润总额,利润总额,1217.8,亿元,,,1,0,0,0,北京市国资委,2025年全年市管企业主要财务指标完成情况,https://gzw.beijing.gov.cn/xxfb/gzsj/202602/t20260211_4508755.html,2026-02-11,2026-04-03,0.90,1,
MO-SH-202301-12-asset,上海,SH,本市地方国有企业,B2,annual,2023,1,12,1-12月,资产总额,资产总额,293084.63,亿元,4.6,up,0,1,0,0,上海市国资委,本市地方国有企业2023年度总体运行情况,https://www.gzw.sh.gov.cn/shgzw_xxgk_tzxx/20240715/d79fd4fd078b48469fe9aad9fe6a3a5a.html,2024-07-15,2026-04-03,0.95,1,含市属+区属企业;15664户
MO-SH-202301-12-rev,上海,SH,本市地方国有企业,B2,annual,2023,1,12,1-12月,营业总收入,营业收入,36953.72,亿元,-2.9,down,1,0,0,0,上海市国资委,本市地方国有企业2023年度总体运行情况,https://www.gzw.sh.gov.cn/shgzw_xxgk_tzxx/20240715/d79fd4fd078b48469fe9aad9fe6a3a5a.html,2024-07-15,2026-04-03,0.95,1,
MO-SH-202301-12-profit,上海,SH,本市地方国有企业,B2,annual,2023,1,12,1-12月,利润总额,利润总额,2654.65,亿元,8.3,up,1,0,0,0,上海市国资委,本市地方国有企业2023年度总体运行情况,https://www.gzw.sh.gov.cn/shgzw_xxgk_tzxx/20240715/d79fd4fd078b48469fe9aad9fe6a3a5a.html,2024-07-15,2026-04-03,0.95,1,
MO-SH-202301-12-tax,上海,SH,本市地方国有企业,B2,annual,2023,1,12,1-12月,应交税费,缴纳各项税金总额,2284.53,亿元,-3.7,down,1,0,0,0,上海市国资委,本市地方国有企业2023年度总体运行情况,https://www.gzw.sh.gov.cn/shgzw_xxgk_tzxx/20240715/d79fd4fd078b48469fe9aad9fe6a3a5a.html,2024-07-15,2026-04-03,0.95,1,
MO-SH-202401-12-asset,上海,SH,本市地方国有企业,B2,annual,2024,1,12,1-12月,资产总额,资产总额,313321.62,亿元,6.9,up,0,1,0,0,上海市国资委,本市地方国有企业2024年度总体运行情况,https://www.gzw.sh.gov.cn/shgzw_xxgk_tzxx/20250729/09aa33a6f106487990a72340e8eeb52c.html,2025-07-29,2026-04-03,0.95,1,含市属+区属企业;15814户
MO-SH-202401-12-rev,上海,SH,本市地方国有企业,B2,annual,2024,1,12,1-12月,营业总收入,营业收入,35728.26,亿元,-3.3,down,1,0,0,0,上海市国资委,本市地方国有企业2024年度总体运行情况,https://www.gzw.sh.gov.cn/shgzw_xxgk_tzxx/20250729/09aa33a6f106487990a72340e8eeb52c.html,2025-07-29,2026-04-03,0.95,1,
MO-SH-202401-12-profit,上海,SH,本市地方国有企业,B2,annual,2024,1,12,1-12月,利润总额,利润总额,2701.25,亿元,1.8,up,1,0,0,0,上海市国资委,本市地方国有企业2024年度总体运行情况,https://www.gzw.sh.gov.cn/shgzw_xxgk_tzxx/20250729/09aa33a6f106487990a72340e8eeb52c.html,2025-07-29,2026-04-03,0.95,1,
MO-SH-202401-12-tax,上海,SH,本市地方国有企业,B2,annual,2024,1,12,1-12月,应交税费,缴纳各项税金总额,2119.76,亿元,-7.2,down,1,0,0,0,上海市国资委,本市地方国有企业2024年度总体运行情况,https://www.gzw.sh.gov.cn/shgzw_xxgk_tzxx/20250729/09aa33a6f106487990a72340e8eeb52c.html,2025-07-29,2026-04-03,0.95,1,
MO-AH-202401-12-rev,安徽,AH,省属企业,B1,annual,2024,1,12,1-12月,营业总收入,营业总收入,10860.7,亿元,,,1,0,0,0,安徽省国资委,2024年度省属企业经济运行情况,https://gzw.ah.gov.cn/ssqy/yxjc/57702201.html,2025-02-10,2026-04-03,0.90,1,30户省属企业;财务快报口径
MO-AH-202401-12-profit,安徽,AH,省属企业,B1,annual,2024,1,12,1-12月,利润总额,利润总额,802.8,亿元,,,1,0,0,0,安徽省国资委,2024年度省属企业经济运行情况,https://gzw.ah.gov.cn/ssqy/yxjc/57702201.html,2025-02-10,2026-04-03,0.90,1,
MO-AH-202401-12-asset,安徽,AH,省属企业,B1,annual,2024,1,12,12月末,资产总额,资产总额,46393.0,亿元,,,0,1,0,0,安徽省国资委,2024年度省属企业经济运行情况,https://gzw.ah.gov.cn/ssqy/yxjc/57702201.html,2025-02-10,2026-04-03,0.90,1,
MO-AH-202401-12-equity,安徽,AH,省属企业,B1,annual,2024,1,12,12月末,所有者权益,所有者权益总额,12826.6,亿元,,,0,1,0,0,安徽省国资委,2024年度省属企业经济运行情况,https://gzw.ah.gov.cn/ssqy/yxjc/57702201.html,2025-02-10,2026-04-03,0.90,1,
MO-AH-202401-12-dar,安徽,AH,省属企业,B1,annual,2024,1,12,12月末,资产负债率,平均资产负债率,72.4,%,,,0,1,0,0,安徽省国资委,2024年度省属企业经济运行情况,https://gzw.ah.gov.cn/ssqy/yxjc/57702201.html,2025-02-10,2026-04-03,0.90,1,
MO-AH-202501-12-rev,安徽,AH,省属企业,B1,annual,2025,1,12,1-12月,营业总收入,营业总收入,10802.1,亿元,,,1,0,0,0,安徽省国资委,2025年度省属企业经济运行情况,https://gzw.ah.gov.cn/ssqy/yxjc/58151761.html,2026-01-30,2026-04-03,0.90,1,30户省属企业
MO-AH-202501-12-profit,安徽,AH,省属企业,B1,annual,2025,1,12,1-12月,利润总额,利润总额,750.3,亿元,,,1,0,0,0,安徽省国资委,2025年度省属企业经济运行情况,https://gzw.ah.gov.cn/ssqy/yxjc/58151761.html,2026-01-30,2026-04-03,0.90,1,
MO-AH-202501-12-asset,安徽,AH,省属企业,B1,annual,2025,1,12,12月末,资产总额,资产总额,51078.3,亿元,,,0,1,0,0,安徽省国资委,2025年度省属企业经济运行情况,https://gzw.ah.gov.cn/ssqy/yxjc/58151761.html,2026-01-30,2026-04-03,0.90,1,
MO-AH-202501-12-equity,安徽,AH,省属企业,B1,annual,2025,1,12,12月末,所有者权益,所有者权益总额,13428.7,亿元,,,0,1,0,0,安徽省国资委,2025年度省属企业经济运行情况,https://gzw.ah.gov.cn/ssqy/yxjc/58151761.html,2026-01-30,2026-04-03,0.90,1,
MO-AH-202501-12-dar,安徽,AH,省属企业,B1,annual,2025,1,12,12月末,资产负债率,资产负债率,58.1,%,,,0,1,0,0,安徽省国资委,2025年度省属企业经济运行情况,https://gzw.ah.gov.cn/ssqy/yxjc/58151761.html,2026-01-30,2026-04-03,0.90,1,省属实体企业资产负债率
MO-GD-202401-12-rev,广东,GD,省国资委监管企业,B1,annual,2024,1,12,1-12月,营业总收入,营业收入,7022.05,亿元,-3.6,down,1,0,1,0,广东省国资委,2024年12月省国资委监管企业经营情况,https://gzw.gd.gov.cn/tjsj/content/post_4657080.html,2025-01-20,2026-04-03,0.90,1,财务快报;营收同比下降主因稀土集团划出
MO-GD-202401-12-asset,广东,GD,省国资委监管企业,B1,annual,2024,1,12,12月末,资产总额,资产总额,27332.79,亿元,6.2,up,0,1,1,0,广东省国资委,2024年12月省国资委监管企业经营情况,https://gzw.gd.gov.cn/tjsj/content/post_4657080.html,2025-01-20,2026-04-03,0.90,1,
MO-GD-202401-12-equity,广东,GD,省国资委监管企业,B1,annual,2024,1,12,12月末,所有者权益,所有者权益总额,10461.0,亿元,5.2,up,0,1,1,0,广东省国资委,2024年12月省国资委监管企业经营情况,https://gzw.gd.gov.cn/tjsj/content/post_4657080.html,2025-01-20,2026-04-03,0.90,1,
MO-GD-202501-12-rev,广东,GD,省国资委监管企业,B1,annual,2025,1,12,1-12月,营业总收入,营业收入,7278.73,亿元,4.3,up,1,0,1,0,广东省国资委,2025年12月省国资委监管企业经营情况,https://gzw.gd.gov.cn/tjsj/content/post_4844504.html,2026-01-16,2026-04-03,0.90,1,财务快报
MO-GD-202501-12-asset,广东,GD,省国资委监管企业,B1,annual,2025,1,12,12月末,资产总额,资产总额,28901.4,亿元,6.2,up,0,1,1,0,广东省国资委,2025年12月省国资委监管企业经营情况,https://gzw.gd.gov.cn/tjsj/content/post_4844504.html,2026-01-16,2026-04-03,0.90,1,
MO-GD-202501-12-equity,广东,GD,省国资委监管企业,B1,annual,2025,1,12,12月末,所有者权益,所有者权益总额,11202.61,亿元,7.3,up,0,1,1,0,广东省国资委,2025年12月省国资委监管企业经营情况,https://gzw.gd.gov.cn/tjsj/content/post_4844504.html,2026-01-16,2026-04-03,0.90,1,
MO-GD-202601-02-rev,广东,GD,省国资委监管企业,B1,cumulative,2026,1,2,1-2月,营业总收入,营业收入,1090.3,亿元,9.9,up,1,0,1,0,广东省国资委,2026年2月省国资委监管企业经营情况,https://gzw.gd.gov.cn/tjsj/content/post_4871394.html,2026-03-19,2026-04-03,0.90,1,财务快报
MO-GD-202601-02-asset,广东,GD,省国资委监管企业,B1,cumulative,2026,1,2,2月末,资产总额,资产总额,29402.46,亿元,6.2,up,0,1,1,0,广东省国资委,2026年2月省国资委监管企业经营情况,https://gzw.gd.gov.cn/tjsj/content/post_4871394.html,2026-03-19,2026-04-03,0.90,1,
MO-GD-202601-02-equity,广东,GD,省国资委监管企业,B1,cumulative,2026,1,2,2月末,所有者权益,所有者权益总额,11364.81,亿元,7.3,up,0,1,1,0,广东省国资委,2026年2月省国资委监管企业经营情况,https://gzw.gd.gov.cn/tjsj/content/post_4871394.html,2026-03-19,2026-04-03,0.90,1,
MO-GX-202601-02-asset,广西,GX,全区国资委系统企业,A2,cumulative,2026,1,2,1-2月,资产总额,资产总额,61780.86,亿元,6.37,up,0,1,0,0,广西国资委,全区国资委系统企业2026年1-2月经济运行简况,http://gzw.gxzf.gov.cn/xxgk/gknr/tjxx/2026tjxx/t27399942.shtml,2026-03-26,2026-04-03,0.95,1,含自治区+市县国企
MO-GX-202601-02-equity,广西,GX,全区国资委系统企业,A2,cumulative,2026,1,2,2月末,所有者权益,所有者权益总额,19298.52,亿元,10.46,up,0,1,0,0,广西国资委,全区国资委系统企业2026年1-2月经济运行简况,http://gzw.gxzf.gov.cn/xxgk/gknr/tjxx/2026tjxx/t27399942.shtml,2026-03-26,2026-04-03,0.95,1,
MO-GX-202601-02-rev,广西,GX,全区国资委系统企业,A2,cumulative,2026,1,2,1-2月,营业总收入,营业收入,1315.07,亿元,1.12,up,1,0,0,0,广西国资委,全区国资委系统企业2026年1-2月经济运行简况,http://gzw.gxzf.gov.cn/xxgk/gknr/tjxx/2026tjxx/t27399942.shtml,2026-03-26,2026-04-03,0.95,1,
MO-GX-202601-02-profit,广西,GX,全区国资委系统企业,A2,cumulative,2026,1,2,1-2月,利润总额,利润总额,21.64,亿元,4.92,up,1,0,0,0,广西国资委,全区国资委系统企业2026年1-2月经济运行简况,http://gzw.gxzf.gov.cn/xxgk/gknr/tjxx/2026tjxx/t27399942.shtml,2026-03-26,2026-04-03,0.95,1,
MO-GX-202601-02-tax,广西,GX,全区国资委系统企业,A2,cumulative,2026,1,2,1-2月,应交税费,应交税费总额,38.47,亿元,7.69,up,1,0,0,0,广西国资委,全区国资委系统企业2026年1-2月经济运行简况,http://gzw.gxzf.gov.cn/xxgk/gknr/tjxx/2026tjxx/t27399942.shtml,2026-03-26,2026-04-03,0.95,1,
MO-GX-202601-02-invest,广西,GX,全区国资委系统企业,A2,cumulative,2026,1,2,1-2月,固定资产投资,固定资产投资额,232.07,亿元,-2.0,down,1,0,0,0,广西国资委,全区国资委系统企业2026年1-2月经济运行简况,http://gzw.gxzf.gov.cn/xxgk/gknr/tjxx/2026tjxx/t27399942.shtml,2026-03-26,2026-04-03,0.95,1,
MO-YN-202501-12-asset,云南,YN,省属企业,B1,annual,2025,1,12,12月末,资产总额,资产总额,34600.0,亿元,2.62,up,0,1,0,0,云南省国资委,省属企业2025年1-12月经济运行概况,https://gzw.yn.gov.cn/info/1042/120632.htm,2026-02-03,2026-04-03,0.90,1,原文"3.46万亿元"
MO-YN-202501-12-equity,云南,YN,省属企业,B1,annual,2025,1,12,12月末,所有者权益,净资产,9442.99,亿元,-0.55,down,0,1,0,0,云南省国资委,省属企业2025年1-12月经济运行概况,https://gzw.yn.gov.cn/info/1042/120632.htm,2026-02-03,2026-04-03,0.90,1,
MO-YN-202501-12-rev,云南,YN,省属企业,B1,annual,2025,1,12,1-12月,营业总收入,累计实现收入,6602.1,亿元,-0.28,down,1,0,0,0,云南省国资委,省属企业2025年1-12月经济运行概况,https://gzw.yn.gov.cn/info/1042/120632.htm,2026-02-03,2026-04-03,0.90,1,
MO-YN-202501-12-profit,云南,YN,省属企业,B1,annual,2025,1,12,1-12月,利润总额,实现利润,70.05,亿元,147.57,up,1,0,0,0,云南省国资委,省属企业2025年1-12月经济运行概况,https://gzw.yn.gov.cn/info/1042/120632.htm,2026-02-03,2026-04-03,0.90,1,
MO-YN-202501-12-tax,云南,YN,省属企业,B1,annual,2025,1,12,1-12月,应交税费,上缴税费,270.84,亿元,4.12,up,1,0,0,0,云南省国资委,省属企业2025年1-12月经济运行概况,https://gzw.yn.gov.cn/info/1042/120632.htm,2026-02-03,2026-04-03,0.90,1,
MO-SN-202501-12-rev,陕西,SN,省国资委监管企业,B1,annual,2025,1,12,1-12月,营业总收入,营业收入,15900.0,亿元,-5.2,down,1,0,0,0,陕西省国资委,2025年度省国资委监管企业经济运行情况,https://sxgz.shaanxi.gov.cn/zfxxgk/fdzdgk/ssqyjjyxqk/202601/t20260120_3606429.html,2026-01-20,2026-04-03,0.90,1,原文"1.59万亿元"
MO-SN-202501-12-profit,陕西,SN,省国资委监管企业,B1,annual,2025,1,12,1-12月,利润总额,利润总额,675.0,亿元,-20.7,down,1,0,0,0,陕西省国资委,2025年度省国资委监管企业经济运行情况,https://sxgz.shaanxi.gov.cn/zfxxgk/fdzdgk/ssqyjjyxqk/202601/t20260120_3606429.html,2026-01-20,2026-04-03,0.90,1,
MO-SN-202501-12-asset,陕西,SN,省国资委监管企业,B1,annual,2025,1,12,12月末,资产总额,资产总额,34800.0,亿元,3.8,up,0,1,0,0,陕西省国资委,2025年度省国资委监管企业经济运行情况,https://sxgz.shaanxi.gov.cn/zfxxgk/fdzdgk/ssqyjjyxqk/202601/t20260120_3606429.html,2026-01-20,2026-04-03,0.90,1,原文"3.48万亿元"
MO-SN-202501-12-equity,陕西,SN,省国资委监管企业,B1,annual,2025,1,12,12月末,所有者权益,所有者权益,11300.0,亿元,3.6,up,0,1,0,0,陕西省国资委,2025年度省国资委监管企业经济运行情况,https://sxgz.shaanxi.gov.cn/zfxxgk/fdzdgk/ssqyjjyxqk/202601/t20260120_3606429.html,2026-01-20,2026-04-03,0.90,1,原文"1.13万亿元"
MO-NX-202601-02-rev,宁夏,NX,全区国资部门监管和统计资产企业,A2,cumulative,2026,1,2,1-2月,营业总收入,营业收入,224.83,亿元,3.9,up,1,0,1,0,宁夏国资委,2026年1-2月全区国资部门监管和统计资产企业财务状况,http://gzw.nx.gov.cn/xwdt/ztzl/gzsj/202603/t20260320_5198941.html,2026-03-20,2026-04-03,0.90,1,财务快报
MO-NX-202601-02-profit,宁夏,NX,全区国资部门监管和统计资产企业,A2,cumulative,2026,1,2,1-2月,利润总额,利润总额,17.15,亿元,20.1,up,1,0,1,0,宁夏国资委,2026年1-2月全区国资部门监管和统计资产企业财务状况,http://gzw.nx.gov.cn/xwdt/ztzl/gzsj/202603/t20260320_5198941.html,2026-03-20,2026-04-03,0.90,1,
MO-NX-202601-02-tax,宁夏,NX,全区国资部门监管和统计资产企业,A2,cumulative,2026,1,2,1-2月,应交税费,已交税费,29.39,亿元,2.5,up,1,0,1,0,宁夏国资委,2026年1-2月全区国资部门监管和统计资产企业财务状况,http://gzw.nx.gov.cn/xwdt/ztzl/gzsj/202603/t20260320_5198941.html,2026-03-20,2026-04-03,0.90,1,
MO-NX-202601-02-asset,宁夏,NX,全区国资部门监管和统计资产企业,A2,cumulative,2026,1,2,2月末,资产总额,资产总额,12100.0,亿元,4.3,up,0,1,1,0,宁夏国资委,2026年1-2月全区国资部门监管和统计资产企业财务状况,http://gzw.nx.gov.cn/xwdt/ztzl/gzsj/202603/t20260320_5198941.html,2026-03-20,2026-04-03,0.90,1,原文"1.21万亿元"
MO-NX-202601-02-equity,宁夏,NX,全区国资部门监管和统计资产企业,A2,cumulative,2026,1,2,2月末,所有者权益,所有者权益,3809.36,亿元,2.2,up,0,1,1,0,宁夏国资委,2026年1-2月全区国资部门监管和统计资产企业财务状况,http://gzw.nx.gov.cn/xwdt/ztzl/gzsj/202603/t20260320_5198941.html,2026-03-20,2026-04-03,0.90,1,
